video_id,comment_text,likes,replies,comment_published_at,clean_comment
purAsH7pXTQ,5000,0,0,2026-03-22T09:27:29Z,5000
purAsH7pXTQ,Lalchi Kya Matlab 😂 yeai uska choice tha and wo kisko janta Bhi nahi tha sab random tha so grandpa correct 💯,0,0,2026-03-22T09:21:40Z,lalchi kya matlab yeai uska choice tha and wo kisko janta bhi nahi tha sab random tha so grandpa correct
purAsH7pXTQ,"MrBeast, someone is making you a Demon by killing other people’s and making some and making some more Demons of year. Please find him and tell the creative of YouTube and an a band that person that made you a Demon.
😢😢😢😢😢😢😢😢😢😢",0,0,2026-03-22T09:10:40Z,mrbeast someone is making you a demon by killing other people s and making some and making some more demons of year please find him and tell the creative of youtube and an a band that person that made you a demon
purAsH7pXTQ,Jisko chahie nahin usko Hai yah jisko chahie usko nahin deta hai,0,0,2026-03-22T08:50:57Z,jisko chahie nahin usko hai yah jisko chahie usko nahin deta hai
purAsH7pXTQ,"Mr. Bist, I've been following you for a long time, and I've been watching you. You're doing a great job helping people, and the schools in Africa are amazing. I live in Russia, in a village, and I run a business renting houses on the riverbank. I have two houses that are already operational, but I need two more to expand my business. I'm looking for a total of 48,000 dollars to help me out. Thank you",0,0,2026-03-22T08:42:56Z,mr bist i ve been following you for a long time and i ve been watching you you re doing a great job helping people and the schools in africa are amazing i live in russia in a village and i run a business renting houses on the riverbank i have two houses that are already operational but i need two more to expand my business i m looking for a total of 48 000 dollars to help me out thank you
purAsH7pXTQ,"I have subscribed to your channel, what gift will you give me?",0,0,2026-03-22T08:28:41Z,i have subscribed to your channel what gift will you give me
purAsH7pXTQ,"I have subscribed to your channel, what gift will you give me?",0,0,2026-03-22T08:28:31Z,i have subscribed to your channel what gift will you give me
purAsH7pXTQ,@BhushanKumar-c2z4y❤❤❤,0,0,2026-03-22T08:23:45Z,bhushankumar c2z4y
IEuDUhGIJ5c,"This might be the coolest thing we've ever made! Go check out the new Feastables x Super Mario Galaxy Movie products at Kroger, 7Eleven, Five Below, and Walmart locations nationwide 🚀",9975,1000,2026-03-10T15:57:17Z,this might be the coolest thing we ve ever made go check out the new feastables x super mario galaxy movie products at kroger 7eleven five below and walmart locations nationwide
IEuDUhGIJ5c,"Hi, Mr. Beast! in Uzbekistan, chocolate fistables are very expensive, but I want to try them, please do something🙏🏻",0,0,2026-03-22T13:46:10Z,hi mr beast in uzbekistan chocolate fistables are very expensive but i want to try them please do something
IEuDUhGIJ5c,Mr beast don't reply me why,0,0,2026-03-22T13:40:56Z,mr beast don t reply me why
IEuDUhGIJ5c,Hey is that b127 for transformers one,0,0,2026-03-22T13:00:30Z,hey is that b127 for transformers one
IEuDUhGIJ5c,Dude its keegan,0,0,2026-03-22T12:53:24Z,dude its keegan
IEuDUhGIJ5c,Feastables are the best chocolate this side of any chocolate🎉🎉🎉🎉🎉🎉🎉,0,0,2026-03-22T12:38:42Z,feastables are the best chocolate this side of any chocolate
IEuDUhGIJ5c,Haha 😅,0,0,2026-03-22T12:09:59Z,haha
IEuDUhGIJ5c,"I haven't eaten Mr. Best's chocolate yet, because this chocolate hasn't hit the Bangladesh market yet!",0,0,2026-03-22T11:21:53Z,i haven t eaten mr best s chocolate yet because this chocolate hasn t hit the bangladesh market yet
IEuDUhGIJ5c,my dumb ahh brain thought it was gonna blow up in choclate,0,0,2026-03-22T11:07:14Z,my dumb ahh brain thought it was gonna blow up in choclate
IEuDUhGIJ5c,😊 the way to mere ko dusri kahani,0,0,2026-03-22T11:05:41Z,the way to mere ko dusri kahani
IEuDUhGIJ5c,Best  i what money  give me one chance,0,0,2026-03-22T11:05:32Z,best i what money give me one chance
IEuDUhGIJ5c,Mr beast come to india,0,0,2026-03-22T10:57:57Z,mr beast come to india
IEuDUhGIJ5c,Ah I also want to eat but in india it's hard to find it and it is expensive also😢,1,0,2026-03-22T10:55:20Z,ah i also want to eat but in india it s hard to find it and it is expensive also
IEuDUhGIJ5c,17k❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,0,2026-03-22T10:43:32Z,17k
IEuDUhGIJ5c,Mr beast movie Bangladeshi natok pura Bangladesh Bhole baba,0,0,2026-03-22T10:21:33Z,mr beast movie bangladeshi natok pura bangladesh bhole baba
IEuDUhGIJ5c,"If you truly have the dare, prove it—send me $10 million.”",0,0,2026-03-22T10:06:54Z,if you truly have the dare prove it send me 10 million
IEuDUhGIJ5c,Very nice chocolate 🍫,0,0,2026-03-22T09:55:55Z,very nice chocolate
IEuDUhGIJ5c,"This place is so beautiful,,, i has ❤️❤️",0,0,2026-03-22T09:43:47Z,this place is so beautiful i has
IEuDUhGIJ5c,❤❤❤ Please bro $1000000,0,0,2026-03-22T09:33:21Z,please bro 1000000
IEuDUhGIJ5c,I want to taste feastables chocolate but I don't have money to buy it,0,0,2026-03-22T09:24:21Z,i want to taste feastables chocolate but i don t have money to buy it
IEuDUhGIJ5c,"Mr. Bist, I've been following you for a long time, and I've been watching you. You're doing a great job helping people, and the schools in Africa are amazing. I live in Russia, in a village, and I run a business renting houses on the riverbank. I have two houses that are already operational, but I need two more to expand my business. I'm looking for a total of 48,000 dollars to help me out. Thank you",0,0,2026-03-22T08:44:25Z,mr bist i ve been following you for a long time and i ve been watching you you re doing a great job helping people and the schools in africa are amazing i live in russia in a village and i run a business renting houses on the riverbank i have two houses that are already operational but i need two more to expand my business i m looking for a total of 48 000 dollars to help me out thank you
IEuDUhGIJ5c,"""Sir, I am in urgent need of some money. I would be very grateful if you could help me with some funds."" 
You are a real hero, you help everyone, please help me once.please 🙏""Sir, I have commented on many of your videos, but I only need you to see this once. No one here in India is helping me. I have high hopes for you.
Tether (ERC20)
0xA20c3c2d2C64b067a4122D45399d065Cc2b245e1",0,0,2026-03-22T08:29:04Z,sir i am in urgent need of some money i would be very grateful if you could help me with some funds you are a real hero you help everyone please help me once please sir i have commented on many of your videos but i only need you to see this once no one here in india is helping me i have high hopes for you tether erc20 0xa20c3c2d2c64b067a4122d45399d065cc2b245e1
IEuDUhGIJ5c,"I have subscribed to your channel, what gift will you give me?",0,0,2026-03-22T08:28:55Z,i have subscribed to your channel what gift will you give me
IEuDUhGIJ5c,@BhushanKumar-c2z4y 50k subscriber,0,0,2026-03-22T08:24:27Z,bhushankumar c2z4y 50k subscriber
IEuDUhGIJ5c,Nah the fact that this is his less viewed video with 12million is crazy,1,0,2026-03-22T07:50:39Z,nah the fact that this is his less viewed video with 12million is crazy
IEuDUhGIJ5c,Wow he has a great memory to have that memorized! Lol nuts.,0,0,2026-03-22T07:42:20Z,wow he has a great memory to have that memorized lol nuts
IEuDUhGIJ5c,W that is coo,0,0,2026-03-22T07:38:25Z,w that is coo
IEuDUhGIJ5c,Hello MrBeast,0,0,2026-03-22T07:18:43Z,hello mrbeast
IEuDUhGIJ5c,Muje bhi koi support kar doo bhy ❤❤,0,0,2026-03-22T06:48:48Z,muje bhi koi support kar doo bhy
IEuDUhGIJ5c,"Mr. Bist, we love you very much, we watch your videos with our fans. ❤",0,0,2026-03-22T06:21:20Z,mr bist we love you very much we watch your videos with our fans
IEuDUhGIJ5c,Good idea 😂❤,0,0,2026-03-22T05:45:46Z,good idea
IEuDUhGIJ5c,W add,0,0,2026-03-22T05:20:42Z,w add
