video_id,title,channel_title,published_at,category_id,tags,views,likes,comment_total,clean_title,clean_tags,engagement_score,like_view_ratio,comment_view_ratio
aYm91X8ZTGw,"Dekho Na -Video Song | Udit Narayan,Alka Yagnik | A.R. Rahman | Swades | Shahrukh Khan,Gayatri Joshi",T-Series Bollywood Classics,2026-03-27T05:30:01Z,10,Dekho Na Jara Dekho Na | Swades | Alka Yagnik | Udit Narayan | Javed Akhtar | A.R. Rahman | Shahrukh Khan | Gayatri Joshi | Hindi Bollywood Song | Hindi Movies | Hindi Songs | tseries movies | official song | Bollywood Song | Latest Bollywood Song | Dekho | Na | Jara | Song | Latest Hindi Movies | Bollywood Romantic Song | Full Hindi Song | Latest Hindi Song | Full Movies Song | tseries | bollywood classical songs | bollywood classics | t-series bollywood classics | bollywood classical dance songs,6517,196,16,dekho na video song udit narayan alka yagnik a r rahman swades shahrukh khan gayatri joshi,dekho na jara dekho na swades alka yagnik udit narayan javed akhtar a r rahman shahrukh khan gayatri joshi hindi bollywood song hindi movies hindi songs tseries movies official song bollywood song latest bollywood song dekho na jara song latest hindi movies bollywood romantic song full hindi song latest hindi song full movies song tseries bollywood classical songs bollywood classics t series bollywood classics bollywood classical dance songs,3.2530305355224796,3.007518796992481,0.24551173852999847
NKUzWJSLXo8,"Raat Bhar Jaam Se - Video Song | Alisha Chinai | Tridev | Sangeeta Bijlani, Madhuri Dixit, Sonam",T-Series Bollywood Classics,2026-03-26T13:30:25Z,10,raat bhar jaam se song | raat bhar jaam se full song | \Tridev movie songs\ | Tridev sunny deol | Tridev movie | Tridev songs | Tridev movie madhuri dixit | Alisha Chinoy songs | Sunny Deol Songs | Madhuri Dixit Songs | old movie songs | bollywood classical songs | Jackie Shroff movies | TIRCHI TOPIWALE Song | GALI GALI MEIN Song | GAZAR NE KIYA HAI ISHARA Song | tridev movie sunny deol | old songs | classical songs | raat bhar jaam se jaam takrayega song | raat bhar jaam se dj song | raat bha,19315,412,41,raat bhar jaam se video song alisha chinai tridev sangeeta bijlani madhuri dixit sonam,raat bhar jaam se song raat bhar jaam se full song tridev movie songs tridev sunny deol tridev movie tridev songs tridev movie madhuri dixit alisha chinoy songs sunny deol songs madhuri dixit songs old movie songs bollywood classical songs jackie shroff movies tirchi topiwale song gali gali mein song gazar ne kiya hai ishara song tridev movie sunny deol old songs classical songs raat bhar jaam se jaam takrayega song raat bhar jaam se dj song raat bha,2.345327465700233,2.1330572094227285,0.21227025627750454
3zLvxBJbudw,"Karte Hain Hum Pyaar Mr. India Se - Video Song | Kishore Kumar, Kavita K | Anil Kapoor, Sri Devi",T-Series Bollywood Classics,2026-03-26T05:30:02Z,10,bollywood classics aashiqui old is gold | dheere dheere | Karte Hain Hum Pyaar | Karte Hai Hum Pyar full song | Mr. India | Mr. India movie songs | Javed Akhtar | Kishore Kumar | Kavita Krishnamurthy | Laxmikant | Pyarelal | Anil Kapoor | Sridevi | Anil Kapoor songs | Sridevi songs | rain dance songs | hindi romantic songs | love songs | hindi songs | bollywood songs | old songs | hindi old songs | tseries oldisgold | hindi | bollywood | hits | love | romantic | old | songs | tseries,31913,573,35,karte hain hum pyaar mr india se video song kishore kumar kavita k anil kapoor sri devi,bollywood classics aashiqui old is gold dheere dheere karte hain hum pyaar karte hai hum pyar full song mr india mr india movie songs javed akhtar kishore kumar kavita krishnamurthy laxmikant pyarelal anil kapoor sridevi anil kapoor songs sridevi songs rain dance songs hindi romantic songs love songs hindi songs bollywood songs old songs hindi old songs tseries oldisgold hindi bollywood hits love romantic old songs tseries,1.9051797073293015,1.7955065333876479,0.10967317394165388
59UZ9grY7v0,"Paa Liya Hain Pyar Tera - Video Song | Udit Narayan, Alka Yagnik | Govinda, Sushmita Sen",T-Series Bollywood Classics,2026-03-25T10:23:58Z,10,bollywood classics aashiqui old is gold | dheere dheere | Paa Liya Hain Pyar Tera | Kyo Kii Main Jhuth Nahin Bolta | Govinda | Sushmita Sen | Rambha | Udit Narayan | Alka Yagnik | Anand Raj Anand | Dev Kohli | ALKA YAGNIK songs | ALKA YAGNIK hits | UDIT NARAYAN | UDIT NARAYAN songs | best of UDIT NARAYAN | SUSHMITA SEN videos | SUSHMITA SEN movies | GOVINDA dance | GOVINDA dance videos,53896,777,66,paa liya hain pyar tera video song udit narayan alka yagnik govinda sushmita sen,bollywood classics aashiqui old is gold dheere dheere paa liya hain pyar tera kyo kii main jhuth nahin bolta govinda sushmita sen rambha udit narayan alka yagnik anand raj anand dev kohli alka yagnik songs alka yagnik hits udit narayan udit narayan songs best of udit narayan sushmita sen videos sushmita sen movies govinda dance govinda dance videos,1.5641234971055364,1.441665429716491,0.12245806738904556
Lu4cKA739ro,"Zindagi Ki Yahi Reet Hai - Video Song | Kishore Kumar | Mr. India | Anil Kapoor, Sri Devi",T-Series Bollywood Classics,2026-03-25T05:30:17Z,10,bollywood classics aashiqui old is gold | dheere dheere | Zindagi Ki Yahi Reet Hai | Mr. India | Mr. India movie songs | Javed Akhtar | Kishore Kumar | Anil Kapoor | Sridevi | Anil Kapoor songs | Sridevi songs | rain dance songs | hindi romantic songs | love songs | hindi songs | bollywood songs | old songs | hindi old songs | tseries oldisgold | hindi | bollywood | hits | love | romantic | old | songs | tseries | Kishore Kumar sad songs,67457,1270,48,zindagi ki yahi reet hai video song kishore kumar mr india anil kapoor sri devi,bollywood classics aashiqui old is gold dheere dheere zindagi ki yahi reet hai mr india mr india movie songs javed akhtar kishore kumar anil kapoor sridevi anil kapoor songs sridevi songs rain dance songs hindi romantic songs love songs hindi songs bollywood songs old songs hindi old songs tseries oldisgold hindi bollywood hits love romantic old songs tseries kishore kumar sad songs,1.9538372592911037,1.8826808188920348,0.07115644039906903
IWuLlOOTr_s,"Aas Paas Khuda - Video Song | Rahat Fateh Ali Khan | Anjaana Anjaani | Ranbir Kapoor,Priyanka Chopra",T-Series Bollywood Classics,2026-03-24T13:30:18Z,10,bollywood classics aashiqui old is gold | dheere dheere | Tujhe Bhula Diya | Anjana Anjani | Rahat Fateh Ali Khan | Shekhar Ravjiani | Vishal Dadlani | Priyanka Chopra | Ranbir Kapoor | Aas Paas Hai Khuda | Anjana Anjani Movie Songs | Rahat Fateh Ali Khan Songs | Hindi Songs | Priyanka Chopra Songs | Ranbir Kapoor Songs | Hindi Movies | Hindi Bollywood Song | Bollywood Song | official song | tseries movies | Aas Paas Hai Khuda Full Song | tseries songs | tseries | Anjaana Anjaani (Film),24543,479,19,aas paas khuda video song rahat fateh ali khan anjaana anjaani ranbir kapoor priyanka chopra,bollywood classics aashiqui old is gold dheere dheere tujhe bhula diya anjana anjani rahat fateh ali khan shekhar ravjiani vishal dadlani priyanka chopra ranbir kapoor aas paas hai khuda anjana anjani movie songs rahat fateh ali khan songs hindi songs priyanka chopra songs ranbir kapoor songs hindi movies hindi bollywood song bollywood song official song tseries movies aas paas hai khuda full song tseries songs tseries anjaana anjaani film,2.0290917980686958,1.9516766491463962,0.07741514892229964
nIoJMwAf_mQ,"Tumse Hamara Vada Hai Hamdam - Video Song | Udit Narayan, Anuradha Paudwal | Suraj, Kavita",T-Series Bollywood Classics,2026-03-24T05:30:25Z,10,Tumse Hamara Wada | Tumse Hamara Wada song | tumse humara vaada song | Jeena Teri Gali Mein | Jeena Teri Gali Me movie | Jeena Teri Gali Me Movie songs | Udit Narayan Songs | Anuradha Paudwal songs | Suraj Songs | Kavita Songs | Tinnu Anand Songs | tseries songs | tseries oldisgold | bollywood claasical songs | hindi old songs | tumse humara wada hai humdam | Tere Hum Ae Sanam,28977,497,26,tumse hamara vada hai hamdam video song udit narayan anuradha paudwal suraj kavita,tumse hamara wada tumse hamara wada song tumse humara vaada song jeena teri gali mein jeena teri gali me movie jeena teri gali me movie songs udit narayan songs anuradha paudwal songs suraj songs kavita songs tinnu anand songs tseries songs tseries oldisgold bollywood claasical songs hindi old songs tumse humara wada hai humdam tere hum ae sanam,1.8048797322014012,1.7151533975221727,0.08972633467922835
gSvAoGZj4Fw,"Dil Ek Mandir Pyar Hai Pooja - Video Song | Anuradha Paudwal | Sanjay Dutt, Raveena Tandon",T-Series Bollywood Classics,2026-03-23T13:30:55Z,10,dheere dheere | Dil Ek Mandir Pyar Hai Pooja | Film - Jeena Marna Tere Sang | Singer - Anuradha Paudwal | Lyricist - Ibrahim Ashq | Music - Dilip Sen | Sameer Sen | Artist - Sanjay Dutt | Raveena Tandon | Aruna Irani | Hindi Bollywood Song | Hindi Movies | official song | Hindi Songs | tseries movies | Dil Ek Mandir Pyar Song | Full Hindi Song | Latest Hindi Movies | Full Movies Song | Latest Hindi Song | Bollywood Song | Sad Song | Latest Bollywood Song | tseries,41951,725,37,dil ek mandir pyar hai pooja video song anuradha paudwal sanjay dutt raveena tandon,dheere dheere dil ek mandir pyar hai pooja film jeena marna tere sang singer anuradha paudwal lyricist ibrahim ashq music dilip sen sameer sen artist sanjay dutt raveena tandon aruna irani hindi bollywood song hindi movies official song hindi songs tseries movies dil ek mandir pyar song full hindi song latest hindi movies full movies song latest hindi song bollywood song sad song latest bollywood song tseries,1.8164048532812092,1.7282067173607303,0.08819813592047866
f0op3tiD0QA,"Tune Zamane Ye Kya Kar Diya -Video Song |Anuradha Paudwal,Vipin Sachdeva |Sanjay Dutt,Raveena Tandon",T-Series Bollywood Classics,2026-03-23T05:30:30Z,10,bollywood classics aashiqui old is gold | dheere dheere | Tune Zamane Yeh Kya Kar Diya | Jeena Marna Tere Sang | Anuradha Paudwal | Vipin Sachdeva | Sameer | Dilip Sen | Sameer Sen | Sanjay Dutt | Raveena Tandon | Gulshan Kumar | Vijay Reddy | Hindi Bollywood Song | Hindi Movies | official song | Hindi Songs | tseries movies | Tune Zamane Yeh Kya Song | Bollywood Song | Sad Song | Latest Bollywood Song | Latest Hindi Song | Full Movies Song | Latest Hindi Movies | Full Hindi Song | tseries,60949,876,49,tune zamane ye kya kar diya video song anuradha paudwal vipin sachdeva sanjay dutt raveena tandon,bollywood classics aashiqui old is gold dheere dheere tune zamane yeh kya kar diya jeena marna tere sang anuradha paudwal vipin sachdeva sameer dilip sen sameer sen sanjay dutt raveena tandon gulshan kumar vijay reddy hindi bollywood song hindi movies official song hindi songs tseries movies tune zamane yeh kya song bollywood song sad song latest bollywood song latest hindi song full movies song latest hindi movies full hindi song tseries,1.5176623078311375,1.4372672234162989,0.08039508441483864
BypJY7vpSmk,"I Feel Good -Video Song | Vishal Dadlani,Shilpa Rao |Anjaana Anjaani | Ranbir Kapoor,Priyanka Chopra",T-Series Bollywood Classics,2026-03-22T13:30:11Z,10,I Feel Good | Anjana Anjani | Vishal Dadlani | Shilpa Rao | Vishal Dadlani Songs | Shekhar Ravjiani | Priyanka Chopra | Ranbir Kapoor | Hindi Bollywood Song | Hindi Movies | tseries movies | Romantic Songs | Love Songs | Bollywood Song | I Feel Good Song | Anjaana Anjaani | Anjani Anjani Movie Songs | Teri Meri Kahaani | Shilpa Rao Songs | Ranbir Kapoor Songs | Priyanka Chopra Songs | tseries | anjana anjani songs | anjaana anjaani full movie,24429,385,16,i feel good video song vishal dadlani shilpa rao anjaana anjaani ranbir kapoor priyanka chopra,i feel good anjana anjani vishal dadlani shilpa rao vishal dadlani songs shekhar ravjiani priyanka chopra ranbir kapoor hindi bollywood song hindi movies tseries movies romantic songs love songs bollywood song i feel good song anjaana anjaani anjani anjani movie songs teri meri kahaani shilpa rao songs ranbir kapoor songs priyanka chopra songs tseries anjana anjani songs anjaana anjaani full movie,1.6414916697367883,1.5759957427647469,0.06549592697204143
