video_id,comment_text,likes,replies,comment_published_at,clean_comment,sentiment_score,sentiment_label,disengagement_keyword_flag
cWSsO0fTCvc,mere pass m4 max hai,0,0,2026-03-16T12:13:10Z,mere pass m4 max hai,0.0,neutral,0
cWSsO0fTCvc,Ek mujhe de do koi old model padai me dikkat hoti hai 🤝🙏,0,0,2026-03-16T09:12:50Z,ek mujhe de do koi old model padai me dikkat hoti hai,0.0,neutral,1
cWSsO0fTCvc,I am macbook pro 2012 in 2026 and its doing fine regular use,0,0,2026-03-16T09:09:22Z,i am macbook pro 2012 in 2026 and its doing fine regular use,0.0,neutral,0
cWSsO0fTCvc,1 giveaway krdo guruji😂,0,0,2026-03-16T08:39:26Z,1 giveaway krdo guruji,0.0,neutral,0
cWSsO0fTCvc,bhaiya aap itne sare laptop ka krte kya ho ek hmme bhi de do coding kr lege haam bhi,0,0,2026-03-16T06:02:19Z,bhaiya aap itne sare laptop ka krte kya ho ek hmme bhi de do coding kr lege haam bhi,0.0,neutral,0
cWSsO0fTCvc,Gareebo aa jao video aa gai 😅,0,0,2026-03-16T05:12:28Z,gareebo aa jao video aa gai,0.0,neutral,0
cWSsO0fTCvc,14 inch wala kyu ? 16 inch kyu nhi liya ?,0,0,2026-03-16T03:33:16Z,14 inch wala kyu 16 inch kyu nhi liya,0.0,neutral,0
cWSsO0fTCvc,ab video ki editting per bhi thoda dhyan dilwa do editor se 😂😂,1,0,2026-03-16T03:27:12Z,ab video ki editting per bhi thoda dhyan dilwa do editor se,0.0,neutral,0
cWSsO0fTCvc,Kya fayda 7.5 lakh ke laptop ka jab video 2016 ke style wala hi Banana hai,0,0,2026-03-15T20:44:47Z,kya fayda 7 5 lakh ke laptop ka jab video 2016 ke style wala hi banana hai,0.0,neutral,0
cWSsO0fTCvc,"Some die of thirst, some drown in it.",0,0,2026-03-15T18:42:59Z,some die of thirst some drown in it,0.0,neutral,0
cWSsO0fTCvc,128gb ram 🤯,0,0,2026-03-15T17:44:27Z,128gb ram,0.0,neutral,0
cWSsO0fTCvc,"Oye Guru Ek 50000-60000 ke under ek achha sa laptop 💻 bataado jiss mein editing, programing jese kaam karne mein asaan ho ❤🎉",0,0,2026-03-15T17:39:18Z,oye guru ek 50000 60000 ke under ek achha sa laptop bataado jiss mein editing programing jese kaam karne mein asaan ho,0.0,neutral,1
